dataset,seed,intervention_target,DLL_var0,DLL_var1,DLL_var2,DeltaJS,DeltaKin,DeltaStat,DeltaTE_XtoVar0,DeltaTE_XtoVar1,DeltaTE_XtoVar2,lag
DatasetB,4,1,,,,0.15670777287234167,0.5822686747739148,0.3247147967000733,0.09361092352721068,0.0,0.09088749830866094,50
DatasetB,4,2,0.11095929284266626,0.006718708555263013,101.48475056642638,0.11912222536427328,0.0677434129244705,0.2268752352088399,0.08310363972004287,0.09922283624504802,0.0,1
DatasetB,4,2,,,,0.1242996963604768,0.45545941453274147,0.22690643964963886,0.08864404576697638,0.09681963523430914,0.0,10
DatasetB,4,2,,,,0.12653412850920356,0.4572586695730139,0.22736408732657834,0.09248906273400515,0.09011515093317968,0.0,50
DatasetB,5,0,28.330688644877583,0.3668045488605182,0.0015561367936307,0.22711683405909894,0.0035776545932848514,0.40025533590279183,0.0,0.18259158517283325,0.14634381285092002,1
DatasetB,5,0,,,,0.22787267793429114,0.5604928398387606,0.3999640854853438,0.0,0.08845290684537854,0.08940872727450211,10
DatasetB,5,0,,,,0.22720602033952375,0.5781777714447776,0.4001543485253197,0.0,0.08173869540965306,0.09286865337480599,50
DatasetB,5,1,0.4387075056409144,63.872624806276384,0.23070621741002956,0.23121384435541295,0.11530583883320433,0.3244022250766798,0.08043283861938555,0.0,0.25636918394243824,1
DatasetB,5,1,,,,0.27276556682941266,0.4354928298147036,0.3240190789356501,0.0936254959985594,0.0,0.08722721658684707,10
DatasetB,5,1,,,,0.24155601079554162,0.45317776125461706,0.3235580283950147,0.08502815875879532,0.0,0.0907888953128606,50
DatasetB,5,2,0.0030736296614141934,0.00016655391411275476,96.43872141180067,0.22214609685793515,0.04789390600425858,0.2267711030203532,0.08565856419728846,0.08716342338418892,0.0,1
DatasetB,5,2,,,,0.2398729118868686,0.31048281976729947,0.2264288838761477,0.08451765189886018,0.08081361768513595,0.0,10
DatasetB,5,2,,,,0.24438368720827947,0.3281677627415285,0.22552623502600017,0.08934063430381389,0.09015128534872252,0.0,50
DatasetB,6,0,29.042034972078568,0.08384310814726527,0.008504265993716745,0.12315374901681594,0.16374738860539384,0.3931095761737154,0.0,0.18693916530111943,0.1489825067572348,1
DatasetB,6,0,,,,0.13966930252278423,0.6575167015272575,0.39375120866673524,0.0,0.0872640760969321,0.0931409822641518,10
DatasetB,6,0,,,,0.14379086053245843,0.7117392355106544,0.3927145487423781,0.0,0.09205173892124874,0.08233233574149112,50
DatasetB,6,1,0.16184264136741988,53.574319273881535,0.0013625020703937792,0.1262601033569754,0.03874737861419164,0.32479760852101414,0.08770932769285955,0.0,0.26697575206367885,1
DatasetB,6,1,,,,0.16444267536254437,0.5325166914928974,0.3254221607234761,0.0843259507014067,0.0,0.09358487020440709,10
DatasetB,6,1,,,,0.1698025577788682,0.5867392253638062,0.32443398137570023,0.0891267863348375,0.0,0.09145562527620044,50
DatasetB,6,2,0.012768725039596073,0.2761632126312057,107.89115067268096,0.13263767685090883,0.0405319963669325,0.22791186136252656,0.08588150387902993,0.0896069488350748,0.0,1
DatasetB,6,2,,,,0.16463859205735906,0.28251668117131856,0.22834910104257097,0.0834976782924346,0.0906365971756471,0.0,10
DatasetB,6,2,,,,0.17043702627515397,0.3367392153286352,0.2278146511364496,0.08557723123379857,0.08311534818483768,0.0,50
DatasetB,7,0,29.132738905232507,0.06584565942821759,0.08152562101884771,0.19861346771282556,0.010023053447161479,0.39140435684338903,0.0,0.19219811705621104,0.13722466447327997,1
DatasetB,7,0,,,,0.1794837806906615,0.5629980799509589,0.3910778053288364,0.0,0.09840019286010104,0.09483223519945971,10
DatasetB,7,0,,,,0.17958094624074541,0.576711475243967,0.38968318896531806,0.0,0.08237996815201543,0.08348368492674352,50
DatasetB,7,1,0.014265831100532743,70.65338380038958,0.13839217836328985,0.18226009457627987,0.11091041927894552,0.31989241055669887,0.08634503459303056,0.0,0.2536491808482788,1
DatasetB,7,1,,,,0.20775075962993977,0.43799806992001167,0.31963245655722156,0.09570925741696668,0.0,0.08147505417231837,10
DatasetB,7,1,,,,0.1997904567397011,0.4517114651463707,0.3181079965068194,0.09395788039434727,0.0,0.09475819257453066,50
DatasetB,7,2,1.1330758833535917,0.13389984044715322,104.7959954156561,0.16111430876706032,0.04182861439784846,0.22977432525618458,0.08180875587499847,0.09008951039451318,0.0,1
DatasetB,7,2,,,,0.1704738240062659,0.31298806000919327,0.22952145100349908,0.08918066685090587,0.08428328160313159,0.0,10
DatasetB,7,2,,,,0.172123731250906,0.3267014561931928,0.2283360053635346,0.08560537152805203,0.09150806386647181,0.0,50
