dataset,seed,intervention_target,DLL_var0,DLL_var1,DLL_var2,DLL_var3,DLL_var4,DLL_var5,DeltaJS,DeltaKin,DeltaStat,DeltaTE_XtoVar0,DeltaTE_XtoVar1,DeltaTE_XtoVar2,DeltaTE_XtoVar3,DeltaTE_XtoVar4,DeltaTE_XtoVar5,lag
DatasetE,5,5,0.004723503852340762,0.0169736434453812,0.027436122396954338,0.005856288088309706,0.30800653003071843,87.41649936511311,0.22894121914679552,0.016418544169396365,0.22920825187178556,0.08393671492797239,0.08687189582970678,0.08159437071966691,0.07356649922663228,0.07883162324896009,0.0,1
DatasetE,5,5,,,,,,,0.23608600268715535,0.3558198508370318,0.22838224124585374,0.08692745573157534,0.0772526746989004,0.09133717298286159,0.09088202292318526,0.08935086800812364,0.0,10
DatasetE,5,5,,,,,,,0.23083158848024393,0.3810311276303277,0.22843079142161551,0.09367327425300331,0.08545220952117916,0.09691153355092474,0.08881844518655546,0.08607647153659137,0.0,50
DatasetE,6,0,39.98291320702034,0.05699048267487248,0.3754720621823025,0.3557874685995543,0.137460178135238,0.09770811813049135,0.31920612585938096,0.3255775784737841,0.5550993150969298,0.0,0.19754694570750164,0.20727031962877351,0.09203409894204562,0.0928772706421257,0.09172460770727175,1
DatasetE,6,0,,,,,,,0.22804556756501376,0.8256981789552573,0.5547250338016785,0.0,0.08572546405157055,0.08896896564185752,0.09139021426806959,0.08827953991951887,0.09536289542732224,10
DatasetE,6,0,,,,,,,0.22462881505083748,0.8375658821243461,0.5552133602186491,0.0,0.09010089376409036,0.09174457334301112,0.08374324603304428,0.08670558226009328,0.0831502481744173,50
DatasetE,6,1,0.009363051307146281,66.32258311512358,0.3422160238248239,0.018975764675809772,0.07119995119181304,0.13436710815676386,0.29961466014042304,0.2162031843099651,0.4296958103822145,0.08472253209572234,0.0,0.08685119485702564,0.19237526080074718,0.09400845464363261,0.10562080046661215,1
DatasetE,6,1,,,,,,,0.25799715831728476,0.7163224122297511,0.42947605711420994,0.08857480417366936,0.0,0.0923050583094649,0.08671398899643945,0.08708344359269526,0.09417912427613961,10
DatasetE,6,1,,,,,,,0.2528663312419489,0.7281901281051849,0.42961277057959046,0.08379099147677227,0.0,0.08974791996284592,0.08436389680088308,0.08905138230653176,0.0843522106812804,50
DatasetE,6,2,0.2062962117777974,0.03176747963747115,69.38497341302882,0.20282662747197494,0.3175805583482104,0.013308211590304675,0.3031346611367105,0.21620318289844265,0.42718195722587693,0.0905636674902186,0.08425850746782682,0.0,0.09120574117226532,0.20125253393864218,0.11473530737101689,1
DatasetE,6,2,,,,,,,0.2586219230789429,0.7163224170662918,0.4269702177386605,0.0767280864325155,0.08967372334369417,0.0,0.08073654445417278,0.09437344512330537,0.08603842303688003,10
DatasetE,6,2,,,,,,,0.2566847931654935,0.7281901346690518,0.4270580122544823,0.08787510351449246,0.08985472732087185,0.0,0.0952853411662602,0.09631529434452846,0.09107466535565045,50
DatasetE,6,3,0.1334430024311956,0.15493556214497545,0.092608248893745,48.69825149141176,0.020989931572568066,0.023683156159769445,0.2810534737915003,0.09120484100310611,0.3358295258857413,0.0872924338226495,0.08925481125335133,0.08793896506275134,0.0,0.08552141578959649,0.16107502777546245,1
DatasetE,6,3,,,,,,,0.25903993384363383,0.5913218340929021,0.33631964312113505,0.0863301297445771,0.08376279725505498,0.07919091880327489,0.0,0.07971256306516539,0.09140123376895071,10
DatasetE,6,3,,,,,,,0.25379446401994477,0.6031896371506016,0.33626040093916637,0.08862051232048751,0.08967764676150436,0.08423223935522017,0.0,0.08843364570284429,0.08809879174368351,50
DatasetE,6,4,0.01871807696096899,0.42291566458222307,0.1028782039031071,0.23978139380275174,46.262861588291535,0.40720918938950174,0.2735783134578117,0.10680580974887732,0.34318058963410003,0.08799237459435671,0.07643683584356586,0.08006185779384789,0.0840588399034885,0.0,0.16827730759949144,1
DatasetE,6,4,,,,,,,0.2542747108253318,0.6069368571883582,0.34372669838887626,0.08897004757600158,0.08988478722228699,0.09026617091682443,0.09095662796618775,0.0,0.08482866359217534,10
DatasetE,6,4,,,,,,,0.24768606493511652,0.618804604798375,0.3431873277467933,0.08140359699902344,0.08404766481422188,0.09145433745017639,0.09148334751835874,0.0,0.08533642599938451,50
DatasetE,6,5,0.000577522667714439,0.17213017031812106,0.22023284095856224,0.023144823889518707,0.010455806697638837,97.14269359854275,0.2335614225000342,0.0014785737627719397,0.2285401548976369,0.0925745229604571,0.08645670416636642,0.08573088810353746,0.08009312428464588,0.08429253696283245,0.0,1
